Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aquascaping-glue-aquatic-plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/opping.jpg?v=1642415957,2,"",,,,,,,,,,,,,,,,,,,,
melon-buce,Melon Buce,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Bucephalandra Melon (Watermelon)<br data-mce-fragment=""1""></p>
<p data-mce-fragment=""1"">Buce Melon is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting</p>
<p data-mce-fragment=""1"">Leaves: Medium/ Big sized 3-4cm<br></p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Medium Slow</p>
</div>",Aquatic Swan Design,Animals & Pet Supplies > Pet Supplies > Fish & Aquatic Supplies > Aquariums,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,35.00,45.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/271379236_703445283973153_8087484457086622131_n.jpg?v=1642411359,1,"",false,,,,,,,,,,,,,,,,kg,,20.00,active
flux-aqua-inline-co2-diffusers-16-22mm,Flux Aqua Inline Co2 Diffusers 16/22mm,"<p><span data-mce-fragment=""1"">The FluxAqua Inline Co2 Diffusers operate for optimal Co2 diffusion. It can be used in line with your canister filter for discrete operation and rarely requires cleaning due to the lack of exposure to aquarium lighting. They are the most efficient Co2 diffusers in the FluxAqua range and produce an ultra-fine bubble mist to ensure all plants receive Co2. If you have a canister filter, we would recommend one of these units.</span></p>
<p><span data-mce-fragment=""1"">Size option:</span></p>
<p><span data-mce-fragment=""1"">S: 12/16mm</span></p>
<p><span data-mce-fragment=""1"">M: 16/22mm</span></p>",Aquatic Swan Design,,Product_Accessories,"",false,Size,S,,,,,,,,"",0.0,shopify,deny,manual,55.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/s-l1600_3020dff8-9447-4c30-b746-d9b402698453.jpg?v=1642410748,1,"",false,,,,,,,,,,,,,,,,kg,,,draft
flux-aqua-inline-co2-diffusers-16-22mm,,,,,,,,,M,,,,,,,,"",0.0,shopify,deny,manual,55.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,kg,,,
flux-aqua-advanced-dual-gauge-co2-regulator,Flux Aqua Advanced Dual Gauge Co2 Regulator,"<div class=""easytabs-content-holder"" aria-labelledby=""easytabs-slide-label-6745208225962-0"" aria-expanded=""true"" aria-hidden=""false"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">The FluxAqua Advanced Dual Gauge Co2 Regulator is a leader among competitors. </p>
<p data-mce-fragment=""1"">Its precise dual gauge system allows accurate monitoring of cylinder and regulator pressure, making it easy to keep track of your remaining Co2 and anticipate when refills are required.</p>
<p data-mce-fragment=""1"">The easy-to-use solenoid valve lets you control Co2 input precisely via a timer for optimal injection.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Key Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Beginner-friendly with step-by-step video tutorials on how to setup<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">3-year warranty on all FluxAqua Co2 Regulators</li>
<li data-mce-fragment=""1"">Ultra-precise needle valve allowing for extreme stability and control<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Safe 12V DC Integrated Solenoid Valve </li>
<li data-mce-fragment=""1"">Australian power supply</li>
<li data-mce-fragment=""1"">Ready to use with Australian standard Co2 Cylinders</li>
<li data-mce-fragment=""1"">Cylinder and regulator pressure monitoring</li>
<li data-mce-fragment=""1"">Pressure release valve for when removing the regulator</li>
<li data-mce-fragment=""1"">Rotatable bubble counter and solenoid</li>
</ul>
</div>",Aquatic Swan Design,Animals & Pet Supplies > Pet Supplies > Fish & Aquatic Supplies > Aquariums,Product_Accessories,special,false,Title,Default Title,,,,,,,,"",1000.0,shopify,deny,manual,239.00,279.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/s-l1600_789e4388-d511-45a8-a64d-681f06466d97.jpg?v=1642409943,1,"",false,,,,,,,,,,,,,,,,kg,,100.00,draft
fluxaqua-compact-mini-single-gauge-co2-regulator,Flux Aqua Compact Mini Single Gauge Co2 Regulator,"<p data-mce-fragment=""1"">The FluxAqua Compact Mini Single Gauge Co2 Regulator is perfect for beginners. It can be used with vertically and horizontally mounting Co2 cylinders as well as SodaStream Co2 bottles when the appropriate FluxAqua adapter is used.</p>
<p data-mce-fragment=""1"">The precision needle valve is highly stable and adjusts smoothly for easy tuning of your Co2 system. With the easy to use solenoid valve, you can control your Co2 input precisely via a timer for optimal injection.</p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Key Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Beginner-friendly with step-by-step video tutorials on how to setup<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Compatible with SodaStream bottles</li>
<li data-mce-fragment=""1"">3-year warranty on all FluxAqua Co2 Regulators</li>
<li data-mce-fragment=""1"">Ultra-precise needle valve allowing for extreme stability and control<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Safe 12V DC Integrated Solenoid Valve </li>
<li data-mce-fragment=""1"">Australian power supply</li>
<li data-mce-fragment=""1"">Ready to use with Australian standard Co2 Cylinders</li>
<li data-mce-fragment=""1"">Cylinder and regulator pressure monitoring</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1""></strong>Fully rotatable bubble counter and solenoid</li>
</ul>",Aquatic Swan Design,Animals & Pet Supplies > Pet Supplies > Fish & Aquatic Supplies > Aquariums,Product_Accessories,special,false,Title,Default Title,,,,,,,,"",1000.0,shopify,deny,manual,199.00,239.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/s-l1600_6dd82b90-b886-4da8-8687-d768a00450f9.jpg?v=1642409742,1,"",false,,,,,,,,,,,,,,,,kg,,100.00,draft
flux-aqua-in-tank-diffuser,FLUX AQUA IN TANK DIFFUSER,"<p data-mce-fragment=""1"">Description: The FluxAqua internal Co2 diffusers are perfect for smaller aquariums that are not operating with a canister filter. They provide one of the best diffusion rates on the market with an acrylic design to prevent easy breakages. They are also easy to clean and come with a suction cup for easy mounting. They are available in 3 sizes:</p>
<p data-mce-fragment=""1"">Small: For aquariums up to 45L</p>
<p data-mce-fragment=""1"">Medium: For aquariums up to 90L</p>
<p data-mce-fragment=""1"">Large: For aquariums over 90L</p>",Duckaroo,Animals & Pet Supplies > Pet Supplies > Fish & Aquatic Supplies > Aquariums,Product_Accessories,"",false,Size,S,,,,,,,,"",0.0,shopify,deny,manual,25.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/20008420_1.jpg?v=1642409187,1,"",false,,,,,,,,,,,,,,,,kg,,,draft
flux-aqua-in-tank-diffuser,,,,,,,,,M,,,,,,,,"",0.0,shopify,deny,manual,26.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,kg,,,
flux-aqua-in-tank-diffuser,,,,,,,,,L,,,,,,,,"",0.0,shopify,deny,manual,27.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,kg,,,
ludwigia-white-super-rare-submerged,"Ludwigia White - ""Super Rare"" - Submerged","<div data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Portion: </strong>1 stem - ( around 5cm -10cm )</div>
<div data-mce-fragment=""1""></div>
<div data-mce-fragment=""1"">Ludwigia inclinata var. verticillata 'White', commonly known as Ludwigia sp. White or Ludwigia sp. Pink. This plant is suitable for a high-tech planted aquarium with a soil-based nutrient substrate, CO2, and high light. It grows best with plenty of CO2 and natural sunlight, therefore. When they grow submerge, the leaf becomes delicate and it develops pink and white leaf. </div>
<div data-mce-fragment=""1""><strong data-mce-fragment=""1""></strong></div>
<div data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Scientific Names:</strong>Ludwigia inclinata var. verticillata 'White'</div>
<div data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Trade Names:</strong>Ludwigia sp. Pink / Ludwigia sp. White</div>
<div data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">CO2:</strong> Required<br data-mce-fragment=""1"">
</div>
<div data-mce-fragment=""1"">
<span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Growth Rates:</strong> </span><span data-mce-fragment=""1"">Medium</span><br data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Difficulty Level:</strong> Hard</span><br data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Nutrient Substrate:</strong> </span><span data-mce-fragment=""1"">Required</span><br data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Lighting Requirements:</strong> </span><span data-mce-fragment=""1"">Medium-High</span>
</div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""></span></div>
<div data-mce-fragment=""1""><span data-mce-fragment=""1""><strong data-mce-fragment=""1"">Disclaimer</strong>: Pictures are not the actual plants you will receive, but a sample representation. Unless specific, we don't guarantee aquatic plants will be free of pests, pesticides.<br></span></div>",Aquatic Swan Design,Animals & Pet Supplies > Pet Supplies > Fish & Aquatic Supplies > Aquariums,Product_Plants,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,11.99,12.50,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/aquatic_plants_ludwigia_sp_white__ludwigia_sp_pink_16_per_stem_3_stems_available_only_very_rare_and__1548069958_5c659714_progressive.jpg?v=1642407313,1,"",false,,,,,,,,,,,,,,,,kg,,5.00,active
ludwigia-white-super-rare-submerged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/aquatic_plants_ludwigia_sp_white__ludwigia_sp_pink_16_per_stem_3_stems_available_only_very_rare_and__1548069958_9a4d72fb_progressive.jpg?v=1642407313,2,"",,,,,,,,,,,,,,,,,,,,
ludwigia-white-super-rare-submerged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/aquatic_plants_ludwigia_sp_white__ludwigia_sp_pink_16_per_stem_3_stems_available_only_very_rare_and__1548662148_06977823_progressive.jpg?v=1642407314,3,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-el-nino,Brownie Ghost El Nino,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Brownie Ghost El Nino<br></p>
<p data-mce-fragment=""1"">Brownie Ghost El Nino is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting</p>
<p data-mce-fragment=""1"">Leaves: Small sized 1-2cm</p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Slow</p>
</div>",Aquatic Swan Design,Home & Garden > Plants > Aquatic Plants,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,149.00,179.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/1644110422481.jpg?v=1644111965,1,"",false,,,,,,,,,,,,,,,,kg,,,active
brownie-ghost-el-nino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/south_ghost_el_nino_bucephalan_1634005363_6d5591d6_progressive.jpg?v=1644111965,2,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-el-nino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/1644110387736.jpg?v=1644111965,3,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-el-nino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/south_ghost_el_nino_bucephalan_1634005363_e763a3bc_progressive.jpg?v=1644111965,4,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-el-nino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/75572112_2481722918549896_2529483695778168832_n.jpg?v=1644111965,5,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-south-15,Brownie Ghost South 15,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Bucephalandra Brownie Ghost South 2015<br></p>
<p data-mce-fragment=""1"">Buce Brownie Ghost South 15 is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting</p>
<p data-mce-fragment=""1"">Leaves: Small sized 1-2cm</p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Slow</p>
</div>",Aquatic Swan Design,Home & Garden > Plants > Aquatic Plants,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,169.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/brownie_ghost_2015_bucephaland_1611817293_f3246c54_progressive.jpg?v=1640249258,1,"",false,,,,,,,,,,,,,,,,kg,,90.00,active
buce-red-sanggau,Buce Red Sanggau,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Bucephalandra Red Sanggau<br></p>
<p data-mce-fragment=""1"">Buce Red Sanggau is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting</p>
<p data-mce-fragment=""1"">Leaves: Small sized 1-2cm</p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Slow</p>
</div>",Aquatic Swan Design,Home & Garden > Plants > Aquatic Plants,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,95.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/074fc758b4194e57b8ef20e5189629ea.jpg?v=1640248508,1,"",false,,,,,,,,,,,,,,,,kg,,80.00,active
buce-red-sanggau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/b2ecda38953dd7549c04fcfc9e9b8daf.jpg?v=1640248508,2,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-11,Brownie Ghost 11,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Bucephalandra Brownie Ghost 2011<br></p>
<p data-mce-fragment=""1"">Buce Brownie Ghost 2011 is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting, as showed on second pic (color may different)<br></p>
<p data-mce-fragment=""1"">Leaves: Small sized 1-2cm</p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Slow</p>
</div>",Aquatic Swan Design,Home & Garden > Plants > Aquatic Plants,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,170.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/Bucephalandra-Brownie-Ghost-2011_6.jpg?v=1640248071,1,"",false,,,,,,,,,,,,,,,,kg,,100.00,active
brownie-ghost-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/Bucephalandra-Brownie-Ghost-2011_Actual3-1.jpg?v=1640248070,2,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/ghost11.jpg?v=1640248071,3,"",,,,,,,,,,,,,,,,,,,,
brownie-ghost-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/qp1qps766c611_75089b1d-4948-4dad-8a07-b7be42a1ca80.jpg?v=1640248071,4,"",,,,,,,,,,,,,,,,,,,,
buce-midnight-blue-submersed-grown-rare,Buce Midnight Blue- Submersed Grown/ Rare,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Bucephalandra Midnight Blue<br></p>
<p data-mce-fragment=""1"">Buce Midnight Blue is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting</p>
<p data-mce-fragment=""1"">Leaves: Small sized 1-2cm</p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Slow</p>
</div>",Aquatic Swan Design,Home & Garden > Plants > Aquatic Plants,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,75.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/ebhnlq02df641.jpg?v=1640247550,1,"",false,,,,,,,,,,,,,,,,kg,,,active
buce,Buce Hulu Kapus Purple,"<div class=""tab-pane active"" id=""pro-dec"" role=""tabpanel"" data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Common Name: Bucephalandra Hulu Kapus Purple<br></p>
<p data-mce-fragment=""1"">Buce Hulu Kapus Purple is an easy plant, perfect for beginners.  It can be grown submerged or immersed. The plant is very slow growing, with new leaves sprouting from long, thin rhizomes.  It can be propagated by cutting the rhizome and attached to driftwood and rocks using super glue gel or thread. </p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Notes:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Bucephalandra is an epiphytic aquarium plant so it can be attached to aquarium hardscape.</li>
<li data-mce-fragment=""1"">Do not plant Bucephalandra in substrate and cover the rhizome. This will cause it to melt and rot.</li>
<li data-mce-fragment=""1"">Bucephalandra’s final size, coloration and growth rate are dependent upon the condition of the aquarium Photos are a representation of what you will receive and may vary.</li>
<li data-mce-fragment=""1"">Do not make drastic changes to the aquarium. Unstable parameters will result in melt and rotting of the aquarium plant.</li>
<li data-mce-fragment=""1"">CO2 injection will yield better growth.</li>
<li data-mce-fragment=""1"">Please research appropriately to ensure your plant thrives.</li>
</ul>
<p data-mce-fragment=""1"">Endemic To: Borneo</p>
<p data-mce-fragment=""1"">Portion Size: Around 4-5 Leaves for each cutting</p>
<p data-mce-fragment=""1"">Leaves: Small sized 1-2cm</p>
<p data-mce-fragment=""1"">pH: 6-8</p>
<p data-mce-fragment=""1"">Care: Easy</p>
<p data-mce-fragment=""1"">Light: Low to Medium</p>
<p data-mce-fragment=""1"">Co2: Not necessary but recommended </p>
<p data-mce-fragment=""1"">Propagation: Cut by rhizome</p>
<p data-mce-fragment=""1"">Growth rate: Slow</p>
</div>",Aquatic Swan Design,Home & Garden > Plants > Aquatic Plants,Product_Bucep,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,55.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/7422/5058/products/67429281_469849950228436_6246911390934630400_n.jpg?v=1640247058,1,"",false,,,,,,,,,,,,,,,,kg,,45.00,active
buce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/7422/5058/products/67488346_469849900228441_404520983672651776_n.jpg?v=1640247061,2,"",,,,,,,,,,,,,,,,,,,,
